Household_ID,State,No_of_Residents,No_of_Appliances,AC_Units,Has_Solar,Monthly_Income,Region,Year,Monthly_Electricity_kWh
241,Tamil Nadu,4,12,0,0,88834,Rural,2015,236.26
242,West Bengal,3,7,2,1,105782,Urban,2022,421.97
243,Gujarat,2,25,1,0,87196,Urban,2018,458.33
244,Maharashtra,9,23,2,0,84072,Urban,2023,837.06
245,West Bengal,8,18,1,0,34136,Rural,2016,543.53
246,Delhi,7,15,0,0,24892,Rural,2022,368.99
247,Maharashtra,9,16,2,0,133365,Urban,2023,787.08
248,Maharashtra,4,15,0,0,131703,Urban,2020,381.24
249,Maharashtra,8,15,1,0,31065,Rural,2022,570.01
250,Karnataka,8,26,0,0,108985,Rural,2018,527.08
251,Delhi,6,25,0,0,70019,Rural,2015,445.16
252,Maharashtra,7,22,2,0,47925,Rural,2016,736.28
253,Gujarat,9,14,0,0,69890,Urban,2015,534.39
254,Uttar Pradesh,3,20,0,1,26436,Rural,2023,177.97
255,Maharashtra,7,12,0,0,94405,Rural,2019,271.17
256,Karnataka,9,10,1,0,43539,Urban,2020,484.69
257,West Bengal,7,23,2,0,29132,Rural,2022,684.2
258,Delhi,2,17,2,1,54777,Rural,2023,489.08
259,Punjab,5,19,0,0,35695,Urban,2017,384.47
260,Karnataka,9,17,2,0,119069,Rural,2016,756.32
261,Maharashtra,8,5,1,0,112503,Urban,2017,466.14
262,Delhi,3,25,1,0,85859,Rural,2020,492.92
263,Uttar Pradesh,9,6,0,0,140061,Rural,2015,306.57
264,Maharashtra,9,17,0,0,109315,Rural,2016,432.13
265,Karnataka,2,6,1,0,58022,Urban,2022,328.2
266,Tamil Nadu,8,29,1,0,131216,Rural,2022,689.47
267,Gujarat,5,15,1,0,100580,Urban,2020,429.97
268,Punjab,2,17,0,0,70799,Rural,2022,229.57
269,West Bengal,5,14,1,0,77292,Urban,2022,440.71
270,Karnataka,5,27,0,0,88844,Urban,2019,413.66
271,Delhi,5,26,1,0,125449,Urban,2018,615.76
272,Punjab,2,19,1,0,24706,Urban,2021,389.87
273,Punjab,7,5,2,0,111871,Urban,2015,549.47
274,Punjab,9,18,1,0,109465,Urban,2021,608.23
275,Maharashtra,5,14,0,0,97731,Rural,2022,232.87
276,Gujarat,7,22,1,0,138188,Rural,2017,455.56
277,Maharashtra,9,15,2,0,68971,Urban,2022,768.21
278,Delhi,8,11,1,1,86173,Rural,2020,415.46
279,Maharashtra,9,19,1,0,47966,Urban,2017,724.03
280,Tamil Nadu,8,7,1,0,32150,Urban,2020,503.32
281,Gujarat,3,6,0,1,98352,Rural,2020,34.04
282,Gujarat,6,26,1,0,58341,Urban,2018,653.99
283,Delhi,7,12,1,0,71232,Urban,2019,575.51
284,West Bengal,9,12,1,0,44846,Urban,2019,659.49
285,Tamil Nadu,8,15,2,0,57673,Rural,2020,703.78
286,Karnataka,6,20,0,0,18675,Urban,2020,508.29
287,Maharashtra,5,6,0,0,54272,Urban,2017,329.93
288,Uttar Pradesh,6,26,2,0,145801,Urban,2016,759.55
289,Maharashtra,6,9,0,0,32157,Urban,2015,179.51
290,Punjab,5,11,2,0,34722,Rural,2015,508.29
291,Maharashtra,7,24,1,0,133187,Rural,2022,574.88
292,Karnataka,9,17,0,1,24781,Urban,2018,357.56
293,Maharashtra,5,6,1,0,89764,Urban,2019,392.0
294,Tamil Nadu,3,7,1,1,136406,Urban,2022,206.57
295,Tamil Nadu,4,13,0,0,109118,Urban,2021,328.77
296,Gujarat,9,14,1,0,26330,Urban,2018,575.6
297,Delhi,2,28,1,0,53507,Rural,2021,480.26
298,West Bengal,5,17,2,1,59121,Rural,2017,513.89
299,Uttar Pradesh,5,29,0,0,125986,Urban,2020,509.26
300,Punjab,6,25,1,1,119021,Urban,2016,560.34
301,Maharashtra,3,17,2,0,44349,Urban,2020,644.1
302,Maharashtra,8,9,0,0,141371,Rural,2020,364.76
303,Karnataka,8,27,1,0,83401,Urban,2017,806.53
304,Delhi,6,11,1,0,53119,Rural,2023,442.3
305,Tamil Nadu,7,21,1,0,98615,Rural,2019,577.94
306,Uttar Pradesh,9,19,1,0,133956,Rural,2019,612.79
307,Gujarat,5,9,1,0,31228,Rural,2015,392.03
308,Tamil Nadu,9,28,0,0,112905,Urban,2018,590.77
309,Punjab,9,11,0,0,108285,Rural,2015,344.51
310,Delhi,5,6,2,0,124360,Urban,2015,512.08
311,Punjab,6,28,2,0,57026,Rural,2021,775.15
312,West Bengal,9,22,2,0,127914,Rural,2019,730.12
313,Gujarat,5,14,0,0,74161,Rural,2022,269.33
314,West Bengal,7,5,0,0,92920,Rural,2018,308.11
315,Karnataka,9,18,0,0,18380,Urban,2023,494.6
316,Punjab,4,23,1,0,25771,Urban,2018,533.5
317,Karnataka,2,20,0,0,131356,Urban,2016,324.05
318,Maharashtra,2,23,0,0,148117,Urban,2017,383.53
319,West Bengal,2,10,1,1,48605,Rural,2023,151.89
320,Delhi,4,16,2,1,20891,Urban,2017,534.22
321,Punjab,5,7,2,0,136514,Rural,2015,425.1
322,Uttar Pradesh,6,11,2,0,109156,Rural,2023,625.17
323,Gujarat,8,28,1,0,72601,Urban,2016,712.04
324,Tamil Nadu,3,7,1,0,79645,Rural,2016,369.49
325,Delhi,5,29,1,0,47406,Rural,2022,647.95
326,Delhi,4,21,0,0,118891,Urban,2017,374.92
327,Karnataka,9,19,2,0,113648,Rural,2017,721.19
328,West Bengal,7,23,1,1,32059,Urban,2017,547.89
329,Punjab,4,23,1,1,78898,Urban,2020,459.27
330,Punjab,9,27,2,0,67614,Rural,2018,830.24
331,Maharashtra,8,15,2,0,87241,Rural,2016,728.51
332,Maharashtra,2,25,0,0,91564,Urban,2018,438.6
333,Gujarat,5,24,2,0,140272,Rural,2017,712.73
334,Karnataka,8,6,1,0,78926,Urban,2021,517.14
335,Delhi,2,11,0,1,111308,Urban,2018,194.78
336,Punjab,3,23,2,0,102152,Urban,2015,696.04
337,Uttar Pradesh,9,11,0,0,73333,Rural,2021,385.1
338,Karnataka,9,14,1,0,76678,Urban,2018,598.08
339,Gujarat,7,16,1,0,43454,Urban,2023,501.71
340,Gujarat,2,27,1,0,59669,Urban,2018,570.62
341,Karnataka,3,22,1,0,32705,Urban,2021,559.82
342,Gujarat,9,27,0,0,104500,Urban,2020,541.8
343,Karnataka,4,10,0,0,118164,Urban,2020,237.37
344,Tamil Nadu,2,24,1,0,146082,Urban,2016,417.24
345,Karnataka,2,25,0,1,16791,Rural,2019,188.64
346,West Bengal,6,12,1,0,35531,Urban,2018,540.34
347,Karnataka,7,9,1,0,57630,Urban,2015,511.0
348,Gujarat,7,7,2,1,95800,Rural,2023,509.46
349,Punjab,8,6,0,0,137478,Rural,2017,274.79
350,West Bengal,4,26,2,0,119504,Urban,2023,696.69
351,Gujarat,6,10,1,0,137842,Rural,2015,469.77
352,Maharashtra,8,11,2,0,143322,Urban,2021,687.94
353,Maharashtra,3,12,1,0,74421,Urban,2023,381.15
354,Punjab,8,8,1,0,144046,Urban,2016,524.14
355,Punjab,3,16,1,0,60793,Urban,2017,398.18
356,West Bengal,4,28,0,1,101833,Urban,2016,380.35
357,Tamil Nadu,9,16,1,0,149315,Rural,2021,562.87
358,Punjab,7,21,1,1,96783,Urban,2022,474.2
359,Maharashtra,9,26,0,1,23718,Urban,2020,371.45
360,Karnataka,3,26,0,0,78241,Urban,2015,385.86
361,Gujarat,4,23,1,0,109510,Urban,2019,537.8
362,Maharashtra,9,13,0,0,79637,Urban,2015,435.76
363,Maharashtra,8,16,1,0,142733,Rural,2017,470.0
364,Tamil Nadu,3,25,2,0,80876,Rural,2015,651.35
365,West Bengal,5,21,0,0,78389,Urban,2016,441.46
366,West Bengal,2,27,2,0,121105,Urban,2015,609.39
367,Delhi,8,14,1,0,54778,Urban,2021,561.93
368,Tamil Nadu,7,23,0,0,43179,Urban,2021,433.99
369,Karnataka,9,15,0,0,83415,Urban,2018,444.84
370,West Bengal,8,24,1,0,130242,Urban,2016,610.95
371,Gujarat,5,26,0,0,24109,Urban,2018,502.76
372,Punjab,4,28,0,0,81063,Urban,2018,381.13
373,Tamil Nadu,4,17,0,0,38000,Rural,2023,250.26
374,Punjab,8,8,2,0,140764,Urban,2023,632.22
375,Maharashtra,5,19,1,0,112382,Urban,2019,567.9
376,Gujarat,9,16,1,0,115263,Urban,2021,667.08
377,Gujarat,8,29,1,0,71933,Urban,2021,749.47
378,Maharashtra,2,28,0,0,81149,Rural,2017,310.09
379,Tamil Nadu,2,14,0,0,124363,Urban,2023,152.16
380,Maharashtra,6,26,0,0,129935,Urban,2017,464.42
381,Punjab,3,11,1,0,25035,Urban,2021,330.36
382,Delhi,6,28,2,0,38156,Urban,2021,806.94
383,Gujarat,9,6,1,0,59353,Rural,2023,486.08
384,Uttar Pradesh,2,25,1,0,51434,Rural,2021,386.35
385,Uttar Pradesh,5,11,2,0,128726,Urban,2019,653.96
386,Punjab,3,12,0,0,76618,Rural,2016,244.16
387,Karnataka,9,25,0,0,62825,Urban,2015,564.22
388,West Bengal,5,23,1,0,108111,Rural,2020,544.14
389,Maharashtra,9,10,2,0,65338,Rural,2023,732.41
390,Maharashtra,6,25,1,0,59938,Urban,2017,610.34
391,Karnataka,4,12,1,0,19512,Urban,2015,493.11
392,Karnataka,5,29,2,0,75993,Urban,2015,781.32
393,Punjab,6,29,2,0,80568,Urban,2023,755.59
394,Punjab,6,26,0,0,101092,Urban,2023,475.79
395,Karnataka,6,24,1,1,26930,Urban,2020,541.5
396,Gujarat,4,8,2,0,36952,Urban,2017,524.5
397,Punjab,4,29,2,0,97793,Urban,2023,875.48
398,Delhi,8,24,2,0,139775,Urban,2019,879.82
399,Punjab,4,28,2,0,20927,Rural,2022,752.37
400,Maharashtra,3,13,1,0,58564,Urban,2018,537.34
401,Punjab,4,9,1,0,102681,Rural,2015,355.86
402,Gujarat,4,10,1,0,77120,Urban,2016,402.74
403,Karnataka,4,23,2,0,72779,Rural,2022,692.99
404,Maharashtra,9,16,0,0,120488,Urban,2018,486.5
405,Punjab,5,9,2,1,131785,Urban,2015,457.09
406,Gujarat,4,9,1,0,124047,Rural,2019,338.9
407,Delhi,3,22,1,0,28992,Rural,2018,365.64
408,Punjab,9,10,1,0,103495,Rural,2019,541.61
409,Gujarat,6,13,0,1,76273,Urban,2017,298.59
410,Delhi,5,15,0,0,40761,Urban,2018,436.28
411,Karnataka,2,27,1,0,85454,Urban,2022,599.67
412,Punjab,9,18,2,0,127555,Rural,2020,845.98
413,Delhi,4,28,1,0,79695,Urban,2019,603.89
414,Maharashtra,9,6,1,0,73197,Urban,2018,545.58
415,Karnataka,8,18,0,1,74823,Urban,2016,347.72
416,Maharashtra,8,29,0,0,95243,Rural,2015,531.22
417,Uttar Pradesh,9,23,0,0,122352,Urban,2018,568.43
418,Tamil Nadu,6,14,0,0,91308,Rural,2016,344.27
419,Punjab,6,9,1,0,137834,Urban,2023,433.06
420,Delhi,5,27,2,0,143182,Urban,2016,781.14
421,Tamil Nadu,8,8,1,0,106343,Urban,2016,460.09
422,Tamil Nadu,2,11,1,0,138454,Rural,2020,346.38
423,Delhi,7,28,2,0,130373,Urban,2020,872.25
424,Karnataka,8,17,1,0,134823,Urban,2018,665.05
425,Punjab,9,14,2,0,33645,Rural,2017,686.87
426,Uttar Pradesh,8,14,0,0,118051,Urban,2018,515.46
427,Maharashtra,3,8,0,0,91249,Rural,2019,96.42
428,Gujarat,7,20,0,0,39219,Urban,2022,419.8
429,Maharashtra,6,19,2,1,129614,Urban,2016,687.63
430,Gujarat,7,25,1,0,66995,Urban,2020,640.62
431,Maharashtra,8,15,0,0,112366,Rural,2021,428.53
432,Delhi,6,23,0,0,21758,Urban,2017,469.73
433,Uttar Pradesh,7,25,1,0,117475,Urban,2019,664.04
434,Punjab,6,28,0,0,47622,Rural,2016,542.62
435,Gujarat,6,7,0,0,57442,Urban,2017,234.18
436,Punjab,5,19,2,0,19483,Urban,2016,719.3
437,Punjab,2,20,1,0,144496,Rural,2015,388.72
438,Punjab,6,18,2,0,104962,Urban,2022,721.07
439,West Bengal,3,9,0,0,23536,Urban,2017,186.48
440,Karnataka,8,21,0,0,112303,Urban,2021,502.18
441,Maharashtra,8,22,1,0,54920,Urban,2017,689.8
442,Punjab,3,23,0,0,34500,Rural,2021,369.86
443,Maharashtra,4,5,2,0,104928,Rural,2022,459.29
444,Punjab,6,29,2,0,82265,Rural,2020,736.07
445,Gujarat,9,13,1,0,116812,Rural,2023,513.63
446,Karnataka,6,25,1,0,49671,Rural,2015,639.77
447,Karnataka,6,18,0,0,116824,Rural,2015,358.03
448,Delhi,9,24,1,0,135071,Rural,2016,639.34
449,West Bengal,7,25,1,0,41071,Urban,2018,699.42
450,Delhi,6,24,0,0,100025,Urban,2020,472.14
451,Delhi,6,25,0,1,128177,Urban,2023,343.95
452,Delhi,3,27,2,0,133110,Urban,2019,701.05
453,Delhi,2,15,2,1,43129,Rural,2023,407.81
454,Delhi,2,28,1,0,68698,Rural,2019,377.1
